2014-11-27 15:19:18 execute_v2 INFO:	---------reset_env at: 2014-11-27 03:19:18---------
2014-11-28 00:55:29 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:55:29---------
2014-11-28 00:55:35 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:55:35 execute_v2 INFO:	db dump res:99
2014-11-28 00:55:38 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:55:38---------
2014-11-28 00:55:43 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:55:43 execute_v2 INFO:	db dump res:99
2014-11-28 00:55:47 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:55:47---------
2014-11-28 00:55:52 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:55:52 execute_v2 INFO:	db dump res:99
2014-11-28 00:55:56 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:55:56---------
2014-11-28 00:56:03 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:56:03 execute_v2 INFO:	db dump res:99
2014-11-28 00:56:07 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:56:07---------
2014-11-28 00:56:15 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:56:15 execute_v2 INFO:	db dump res:99
2014-11-28 00:56:18 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:56:18---------
2014-11-28 00:56:24 execute_v2 INFO:	start_v2 ret=99
2014-11-28 00:56:24 execute_v2 INFO:	db dump res:99
2014-11-28 00:56:28 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:56:28---------
2014-11-28 00:56:29 execute_v2 INFO:	start_v2 ret=0
2014-11-28 00:56:29 execute_v2 INFO:	db dump res:0
2014-11-28 00:56:29 execute_v2 INFO:	to_remove:
2014-11-28 00:56:29 execute_v2 INFO:	zip files res:0
2014-11-28 00:56:34 execute_v2 INFO:	enc files res:99
2014-11-28 00:56:37 execute_v2 INFO:	---------reset_env at: 2014-11-28 12:56:37---------
2014-11-28 00:56:38 execute_v2 INFO:	start_v2 ret=0
2014-11-28 00:56:38 execute_v2 INFO:	db dump res:0
2014-11-28 00:56:38 execute_v2 INFO:	zip files res:0
2014-11-28 00:56:38 execute_v2 INFO:	enc files res:0
2014-11-28 00:56:58 execute_v2 INFO:	to reset env, succ.
2014-11-29 01:18:22 execute_v2 INFO:	---------reset_env at: 2014-11-29 01:18:22---------
2014-11-29 01:18:27 execute_v2 INFO:	start_v2 ret=99
2014-11-29 01:18:27 execute_v2 INFO:	db dump res:99
2014-11-29 01:18:30 execute_v2 INFO:	---------reset_env at: 2014-11-29 01:18:30---------
2014-11-29 01:18:30 execute_v2 INFO:	start_v2 ret=0
2014-11-29 01:18:30 execute_v2 INFO:	db dump res:0
2014-11-29 01:18:31 execute_v2 INFO:	to_remove:
2014-11-29 01:18:31 execute_v2 INFO:	zip files res:0
2014-11-29 01:18:32 execute_v2 INFO:	enc files res:0
2014-11-29 01:18:56 execute_v2 INFO:	to reset env, succ.
2014-11-30 01:13:54 execute_v2 INFO:	---------reset_env at: 2014-11-30 01:13:54---------
2014-11-30 01:13:59 execute_v2 INFO:	start_v2 ret=99
2014-11-30 01:13:59 execute_v2 INFO:	db dump res:99
2014-11-30 01:14:02 execute_v2 INFO:	---------reset_env at: 2014-11-30 01:14:02---------
2014-11-30 01:14:03 execute_v2 INFO:	start_v2 ret=0
2014-11-30 01:14:03 execute_v2 INFO:	db dump res:0
2014-11-30 01:14:04 execute_v2 INFO:	to_remove:
2014-11-30 01:14:04 execute_v2 INFO:	zip files res:0
2014-11-30 01:14:04 execute_v2 INFO:	enc files res:0
2014-11-30 01:14:28 execute_v2 INFO:	to reset env, succ.
2014-12-01 03:39:54 execute_v2 INFO:	---------reset_env at: 2014-12-01 03:39:54---------
2014-12-01 03:39:59 execute_v2 INFO:	start_v2 ret=0
2014-12-01 03:39:59 execute_v2 INFO:	db dump res:0
2014-12-01 03:39:59 execute_v2 INFO:	zip files res:99
2014-12-01 03:40:02 execute_v2 INFO:	---------reset_env at: 2014-12-01 03:40:02---------
2014-12-01 03:40:02 execute_v2 INFO:	start_v2 ret=0
2014-12-01 03:40:02 execute_v2 INFO:	db dump res:0
2014-12-01 03:40:03 execute_v2 INFO:	to_remove:
2014-12-01 03:40:03 execute_v2 INFO:	zip files res:0
2014-12-01 03:40:04 execute_v2 INFO:	enc files res:0
2014-12-01 03:40:25 execute_v2 INFO:	to reset env, succ.
2014-12-02 01:04:40 execute_v2 INFO:	---------reset_env at: 2014-12-02 01:04:40---------
2014-12-02 01:04:45 execute_v2 INFO:	start_v2 ret=99
2014-12-02 01:04:45 execute_v2 INFO:	db dump res:99
2014-12-02 01:04:48 execute_v2 INFO:	---------reset_env at: 2014-12-02 01:04:48---------
2014-12-02 01:04:51 execute_v2 INFO:	start_v2 ret=0
2014-12-02 01:04:51 execute_v2 INFO:	db dump res:0
2014-12-02 01:04:53 execute_v2 INFO:	to_remove:
2014-12-02 01:04:53 execute_v2 INFO:	zip files res:0
2014-12-02 01:04:53 execute_v2 INFO:	enc files res:99
2014-12-02 01:04:56 execute_v2 INFO:	---------reset_env at: 2014-12-02 01:04:56---------
2014-12-02 01:04:56 execute_v2 INFO:	start_v2 ret=0
2014-12-02 01:04:56 execute_v2 INFO:	db dump res:0
2014-12-02 01:04:56 execute_v2 INFO:	zip files res:0
2014-12-02 01:04:58 execute_v2 INFO:	enc files res:0
2014-12-02 01:05:13 execute_v2 INFO:	to reset env, succ.
2014-12-03 01:09:25 execute_v2 INFO:	---------reset_env at: 2014-12-03 01:09:25---------
2014-12-03 01:09:30 execute_v2 INFO:	start_v2 ret=99
2014-12-03 01:09:30 execute_v2 INFO:	db dump res:99
2014-12-03 01:09:33 execute_v2 INFO:	---------reset_env at: 2014-12-03 01:09:33---------
2014-12-03 01:09:38 execute_v2 INFO:	start_v2 ret=99
2014-12-03 01:09:38 execute_v2 INFO:	db dump res:99
2014-12-03 01:09:41 execute_v2 INFO:	---------reset_env at: 2014-12-03 01:09:41---------
2014-12-03 01:09:43 execute_v2 INFO:	start_v2 ret=0
2014-12-03 01:09:43 execute_v2 INFO:	db dump res:0
2014-12-03 01:09:44 execute_v2 INFO:	to_remove:
2014-12-03 01:09:44 execute_v2 INFO:	zip files res:0
2014-12-03 01:09:45 execute_v2 INFO:	enc files res:0
2014-12-03 01:10:06 execute_v2 INFO:	to reset env, succ.
2014-12-04 01:14:17 execute_v2 INFO:	---------reset_env at: 2014-12-04 01:14:17---------
2014-12-04 01:14:22 execute_v2 INFO:	start_v2 ret=99
2014-12-04 01:14:22 execute_v2 INFO:	db dump res:99
2014-12-04 01:14:25 execute_v2 INFO:	---------reset_env at: 2014-12-04 01:14:25---------
2014-12-04 01:14:28 execute_v2 INFO:	start_v2 ret=0
2014-12-04 01:14:28 execute_v2 INFO:	db dump res:0
2014-12-04 01:14:29 execute_v2 INFO:	to_remove:
2014-12-04 01:14:29 execute_v2 INFO:	zip files res:0
2014-12-04 01:14:30 execute_v2 INFO:	enc files res:99
2014-12-04 01:14:33 execute_v2 INFO:	---------reset_env at: 2014-12-04 01:14:33---------
2014-12-04 01:14:33 execute_v2 INFO:	start_v2 ret=0
2014-12-04 01:14:33 execute_v2 INFO:	db dump res:0
2014-12-04 01:14:33 execute_v2 INFO:	zip files res:0
2014-12-04 01:14:33 execute_v2 INFO:	enc files res:0
2014-12-04 01:14:59 execute_v2 INFO:	to reset env, succ.
2014-12-05 01:08:31 execute_v2 INFO:	---------reset_env at: 2014-12-05 01:08:31---------
2014-12-05 01:08:36 execute_v2 INFO:	start_v2 ret=99
2014-12-05 01:08:36 execute_v2 INFO:	db dump res:99
2014-12-05 01:08:40 execute_v2 INFO:	---------reset_env at: 2014-12-05 01:08:40---------
2014-12-05 01:08:45 execute_v2 INFO:	start_v2 ret=99
2014-12-05 01:08:45 execute_v2 INFO:	db dump res:99
2014-12-05 01:08:48 execute_v2 INFO:	---------reset_env at: 2014-12-05 01:08:48---------
2014-12-05 01:08:48 execute_v2 INFO:	start_v2 ret=0
2014-12-05 01:08:48 execute_v2 INFO:	db dump res:0
2014-12-05 01:08:49 execute_v2 INFO:	to_remove:
2014-12-05 01:08:49 execute_v2 INFO:	zip files res:0
2014-12-05 01:08:50 execute_v2 INFO:	enc files res:0
2014-12-05 01:09:08 execute_v2 INFO:	to reset env, succ.
2014-12-06 01:01:29 execute_v2 INFO:	---------reset_env at: 2014-12-06 01:01:29---------
2014-12-06 01:01:34 execute_v2 INFO:	start_v2 ret=99
2014-12-06 01:01:34 execute_v2 INFO:	db dump res:99
2014-12-06 01:01:37 execute_v2 INFO:	---------reset_env at: 2014-12-06 01:01:37---------
2014-12-06 01:01:39 execute_v2 INFO:	start_v2 ret=0
2014-12-06 01:01:39 execute_v2 INFO:	db dump res:0
2014-12-06 01:01:39 execute_v2 INFO:	to_remove:
2014-12-06 01:01:39 execute_v2 INFO:	zip files res:0
2014-12-06 01:01:40 execute_v2 INFO:	enc files res:0
2014-12-06 01:01:59 execute_v2 INFO:	to reset env, succ.
2014-12-07 00:54:31 execute_v2 INFO:	---------reset_env at: 2014-12-07 12:54:31---------
2014-12-07 00:54:36 execute_v2 INFO:	start_v2 ret=99
2014-12-07 00:54:36 execute_v2 INFO:	db dump res:99
2014-12-07 00:54:40 execute_v2 INFO:	---------reset_env at: 2014-12-07 12:54:40---------
2014-12-07 00:54:40 execute_v2 INFO:	start_v2 ret=0
2014-12-07 00:54:40 execute_v2 INFO:	db dump res:0
2014-12-07 00:54:41 execute_v2 INFO:	to_remove:
2014-12-07 00:54:41 execute_v2 INFO:	zip files res:0
2014-12-07 00:54:41 execute_v2 INFO:	enc files res:0
2014-12-07 00:55:00 execute_v2 INFO:	to reset env, succ.
2014-12-08 02:56:17 execute_v2 INFO:	---------reset_env at: 2014-12-08 02:56:17---------
2014-12-08 02:56:21 execute_v2 INFO:	start_v2 ret=0
2014-12-08 02:56:21 execute_v2 INFO:	db dump res:0
2014-12-08 02:56:22 execute_v2 INFO:	to_remove:
2014-12-08 02:56:22 execute_v2 INFO:	zip files res:0
2014-12-08 02:56:22 execute_v2 INFO:	enc files res:99
2014-12-08 02:56:25 execute_v2 INFO:	---------reset_env at: 2014-12-08 02:56:25---------
2014-12-08 02:56:25 execute_v2 INFO:	start_v2 ret=0
2014-12-08 02:56:25 execute_v2 INFO:	db dump res:0
2014-12-08 02:56:25 execute_v2 INFO:	zip files res:0
2014-12-08 02:56:26 execute_v2 INFO:	enc files res:0
2014-12-08 02:56:49 execute_v2 INFO:	to reset env, succ.
2014-12-09 01:01:19 execute_v2 INFO:	---------reset_env at: 2014-12-09 01:01:19---------
2014-12-09 01:01:24 execute_v2 INFO:	start_v2 ret=99
2014-12-09 01:01:24 execute_v2 INFO:	db dump res:99
2014-12-09 01:01:27 execute_v2 INFO:	---------reset_env at: 2014-12-09 01:01:27---------
2014-12-09 01:01:29 execute_v2 INFO:	start_v2 ret=0
2014-12-09 01:01:29 execute_v2 INFO:	db dump res:0
2014-12-09 01:01:30 execute_v2 INFO:	to_remove:
2014-12-09 01:01:30 execute_v2 INFO:	zip files res:0
2014-12-09 01:01:30 execute_v2 INFO:	enc files res:0
2014-12-09 01:01:45 execute_v2 INFO:	to reset env, succ.
2014-12-10 01:01:21 execute_v2 INFO:	---------reset_env at: 2014-12-10 01:01:21---------
2014-12-10 01:01:26 execute_v2 INFO:	start_v2 ret=99
2014-12-10 01:01:26 execute_v2 INFO:	db dump res:99
2014-12-10 01:01:29 execute_v2 INFO:	---------reset_env at: 2014-12-10 01:01:29---------
2014-12-10 01:01:34 execute_v2 INFO:	start_v2 ret=99
2014-12-10 01:01:34 execute_v2 INFO:	db dump res:99
2014-12-10 01:01:37 execute_v2 INFO:	---------reset_env at: 2014-12-10 01:01:37---------
2014-12-10 01:01:42 execute_v2 INFO:	start_v2 ret=99
2014-12-10 01:01:42 execute_v2 INFO:	db dump res:99
2014-12-10 01:01:45 execute_v2 INFO:	---------reset_env at: 2014-12-10 01:01:45---------
2014-12-10 01:01:45 execute_v2 INFO:	start_v2 ret=0
2014-12-10 01:01:45 execute_v2 INFO:	db dump res:0
2014-12-10 01:01:46 execute_v2 INFO:	to_remove:
2014-12-10 01:01:46 execute_v2 INFO:	zip files res:0
2014-12-10 01:01:47 execute_v2 INFO:	enc files res:0
2014-12-10 01:01:54 execute_v2 INFO:	to reset env, succ.
2014-12-11 01:04:56 execute_v2 INFO:	---------reset_env at: 2014-12-11 01:04:56---------
2014-12-11 01:05:01 execute_v2 INFO:	start_v2 ret=99
2014-12-11 01:05:01 execute_v2 INFO:	db dump res:99
2014-12-11 01:05:04 execute_v2 INFO:	---------reset_env at: 2014-12-11 01:05:04---------
2014-12-11 01:05:04 execute_v2 INFO:	start_v2 ret=0
2014-12-11 01:05:04 execute_v2 INFO:	db dump res:0
2014-12-11 01:05:05 execute_v2 INFO:	to_remove:
2014-12-11 01:05:05 execute_v2 INFO:	zip files res:0
2014-12-11 01:05:06 execute_v2 INFO:	enc files res:0
2014-12-11 01:05:21 execute_v2 INFO:	to reset env, succ.
2014-12-12 01:09:07 execute_v2 INFO:	---------reset_env at: 2014-12-12 01:09:07---------
2014-12-12 01:09:12 execute_v2 INFO:	start_v2 ret=99
2014-12-12 01:09:12 execute_v2 INFO:	db dump res:99
2014-12-12 01:09:15 execute_v2 INFO:	---------reset_env at: 2014-12-12 01:09:15---------
2014-12-12 01:09:18 execute_v2 INFO:	start_v2 ret=0
2014-12-12 01:09:18 execute_v2 INFO:	db dump res:0
2014-12-12 01:09:19 execute_v2 INFO:	to_remove:
2014-12-12 01:09:19 execute_v2 INFO:	zip files res:0
2014-12-12 01:09:19 execute_v2 INFO:	enc files res:0
2014-12-12 01:09:39 execute_v2 INFO:	to reset env, succ.
2014-12-13 00:51:13 execute_v2 INFO:	---------reset_env at: 2014-12-13 12:51:13---------
2014-12-13 00:51:18 execute_v2 INFO:	start_v2 ret=99
2014-12-13 00:51:18 execute_v2 INFO:	db dump res:99
2014-12-13 00:51:21 execute_v2 INFO:	---------reset_env at: 2014-12-13 12:51:21---------
2014-12-13 00:51:22 execute_v2 INFO:	start_v2 ret=0
2014-12-13 00:51:22 execute_v2 INFO:	db dump res:0
2014-12-13 00:51:22 execute_v2 INFO:	to_remove:
2014-12-13 00:51:22 execute_v2 INFO:	zip files res:0
2014-12-13 00:51:23 execute_v2 INFO:	enc files res:0
2014-12-13 00:51:38 execute_v2 INFO:	to reset env, succ.
2014-12-14 01:06:06 execute_v2 INFO:	---------reset_env at: 2014-12-14 01:06:06---------
2014-12-14 01:06:11 execute_v2 INFO:	start_v2 ret=99
2014-12-14 01:06:11 execute_v2 INFO:	db dump res:99
2014-12-14 01:06:15 execute_v2 INFO:	---------reset_env at: 2014-12-14 01:06:15---------
2014-12-14 01:06:15 execute_v2 INFO:	start_v2 ret=0
2014-12-14 01:06:15 execute_v2 INFO:	db dump res:0
2014-12-14 01:06:15 execute_v2 INFO:	to_remove:
2014-12-14 01:06:15 execute_v2 INFO:	zip files res:0
2014-12-14 01:06:16 execute_v2 INFO:	enc files res:0
2014-12-14 01:06:29 execute_v2 INFO:	to reset env, succ.
2014-12-15 03:10:17 execute_v2 INFO:	---------reset_env at: 2014-12-15 03:10:17---------
2014-12-15 03:10:22 execute_v2 INFO:	start_v2 ret=99
2014-12-15 03:10:22 execute_v2 INFO:	db dump res:99
2014-12-15 03:10:25 execute_v2 INFO:	---------reset_env at: 2014-12-15 03:10:25---------
2014-12-15 03:10:28 execute_v2 INFO:	start_v2 ret=0
2014-12-15 03:10:28 execute_v2 INFO:	db dump res:0
2014-12-15 03:10:29 execute_v2 INFO:	to_remove:
2014-12-15 03:10:29 execute_v2 INFO:	zip files res:0
2014-12-15 03:10:29 execute_v2 INFO:	enc files res:0
2014-12-15 03:10:45 execute_v2 INFO:	to reset env, succ.
2014-12-16 01:02:46 execute_v2 INFO:	---------reset_env at: 2014-12-16 01:02:46---------
2014-12-16 01:02:51 execute_v2 INFO:	start_v2 ret=99
2014-12-16 01:02:51 execute_v2 INFO:	db dump res:99
2014-12-16 01:02:54 execute_v2 INFO:	---------reset_env at: 2014-12-16 01:02:54---------
2014-12-16 01:02:55 execute_v2 INFO:	start_v2 ret=0
2014-12-16 01:02:55 execute_v2 INFO:	db dump res:0
2014-12-16 01:02:56 execute_v2 INFO:	to_remove:
2014-12-16 01:02:56 execute_v2 INFO:	zip files res:0
2014-12-16 01:02:57 execute_v2 INFO:	enc files res:0
2014-12-16 01:03:05 execute_v2 INFO:	to reset env, succ.
2014-12-17 00:57:13 execute_v2 INFO:	---------reset_env at: 2014-12-17 12:57:13---------
2014-12-17 00:57:18 execute_v2 INFO:	start_v2 ret=99
2014-12-17 00:57:18 execute_v2 INFO:	db dump res:99
2014-12-17 00:57:21 execute_v2 INFO:	---------reset_env at: 2014-12-17 12:57:21---------
2014-12-17 00:57:23 execute_v2 INFO:	start_v2 ret=0
2014-12-17 00:57:23 execute_v2 INFO:	db dump res:0
2014-12-17 00:57:24 execute_v2 INFO:	to_remove:
2014-12-17 00:57:24 execute_v2 INFO:	zip files res:0
2014-12-17 00:57:24 execute_v2 INFO:	enc files res:0
2014-12-17 00:57:41 execute_v2 INFO:	to reset env, succ.
2014-12-18 01:01:53 execute_v2 INFO:	---------reset_env at: 2014-12-18 01:01:53---------
2014-12-18 01:01:59 execute_v2 INFO:	start_v2 ret=99
2014-12-18 01:01:59 execute_v2 INFO:	db dump res:99
2014-12-18 01:02:02 execute_v2 INFO:	---------reset_env at: 2014-12-18 01:02:02---------
2014-12-18 01:02:02 execute_v2 INFO:	start_v2 ret=0
2014-12-18 01:02:02 execute_v2 INFO:	db dump res:0
2014-12-18 01:02:03 execute_v2 INFO:	to_remove:
2014-12-18 01:02:03 execute_v2 INFO:	zip files res:0
2014-12-18 01:02:03 execute_v2 INFO:	enc files res:0
2014-12-18 01:02:16 execute_v2 INFO:	to reset env, succ.
2014-12-19 00:45:44 execute_v2 INFO:	---------reset_env at: 2014-12-19 12:45:44---------
2014-12-19 00:45:49 execute_v2 INFO:	start_v2 ret=99
2014-12-19 00:45:49 execute_v2 INFO:	db dump res:99
2014-12-19 00:45:52 execute_v2 INFO:	---------reset_env at: 2014-12-19 12:45:52---------
2014-12-19 00:45:54 execute_v2 INFO:	start_v2 ret=0
2014-12-19 00:45:54 execute_v2 INFO:	db dump res:0
2014-12-19 00:45:55 execute_v2 INFO:	to_remove:
2014-12-19 00:45:55 execute_v2 INFO:	zip files res:0
2014-12-19 00:45:55 execute_v2 INFO:	enc files res:0
2014-12-19 00:46:07 execute_v2 INFO:	to reset env, succ.
2014-12-20 01:17:38 execute_v2 INFO:	---------reset_env at: 2014-12-20 01:17:38---------
2014-12-20 01:17:43 execute_v2 INFO:	start_v2 ret=99
2014-12-20 01:17:43 execute_v2 INFO:	db dump res:99
2014-12-20 01:17:46 execute_v2 INFO:	---------reset_env at: 2014-12-20 01:17:46---------
2014-12-20 01:17:49 execute_v2 INFO:	start_v2 ret=0
2014-12-20 01:17:49 execute_v2 INFO:	db dump res:0
2014-12-20 01:17:51 execute_v2 INFO:	to_remove:
2014-12-20 01:17:51 execute_v2 INFO:	zip files res:0
2014-12-20 01:17:51 execute_v2 INFO:	enc files res:99
2014-12-20 01:17:54 execute_v2 INFO:	---------reset_env at: 2014-12-20 01:17:54---------
2014-12-20 01:17:54 execute_v2 INFO:	start_v2 ret=0
2014-12-20 01:17:54 execute_v2 INFO:	db dump res:0
2014-12-20 01:17:54 execute_v2 INFO:	zip files res:0
2014-12-20 01:17:55 execute_v2 INFO:	enc files res:0
2014-12-20 01:18:05 execute_v2 INFO:	to reset env, succ.
2014-12-21 01:03:43 execute_v2 INFO:	---------reset_env at: 2014-12-21 01:03:43---------
2014-12-21 01:03:48 execute_v2 INFO:	start_v2 ret=99
2014-12-21 01:03:48 execute_v2 INFO:	db dump res:99
2014-12-21 01:03:51 execute_v2 INFO:	---------reset_env at: 2014-12-21 01:03:51---------
2014-12-21 01:03:54 execute_v2 INFO:	start_v2 ret=0
2014-12-21 01:03:54 execute_v2 INFO:	db dump res:0
2014-12-21 01:03:55 execute_v2 INFO:	to_remove:
2014-12-21 01:03:55 execute_v2 INFO:	zip files res:0
2014-12-21 01:03:55 execute_v2 INFO:	enc files res:0
2014-12-21 01:04:07 execute_v2 INFO:	to reset env, succ.
2014-12-22 03:01:52 execute_v2 INFO:	---------reset_env at: 2014-12-22 03:01:52---------
2014-12-22 03:01:58 execute_v2 INFO:	start_v2 ret=99
2014-12-22 03:01:58 execute_v2 INFO:	db dump res:99
2014-12-22 03:02:01 execute_v2 INFO:	---------reset_env at: 2014-12-22 03:02:01---------
2014-12-22 03:02:01 execute_v2 INFO:	start_v2 ret=0
2014-12-22 03:02:01 execute_v2 INFO:	db dump res:0
2014-12-22 03:02:02 execute_v2 INFO:	to_remove:
2014-12-22 03:02:02 execute_v2 INFO:	zip files res:0
2014-12-22 03:02:02 execute_v2 INFO:	enc files res:0
2014-12-22 03:02:26 execute_v2 INFO:	to reset env, succ.
2014-12-23 00:45:42 execute_v2 INFO:	---------reset_env at: 2014-12-23 12:45:42---------
2014-12-23 00:45:47 execute_v2 INFO:	start_v2 ret=99
2014-12-23 00:45:47 execute_v2 INFO:	db dump res:99
2014-12-23 00:45:50 execute_v2 INFO:	---------reset_env at: 2014-12-23 12:45:50---------
2014-12-23 00:45:51 execute_v2 INFO:	start_v2 ret=0
2014-12-23 00:45:51 execute_v2 INFO:	db dump res:0
2014-12-23 00:45:51 execute_v2 INFO:	to_remove:
2014-12-23 00:45:51 execute_v2 INFO:	zip files res:0
2014-12-23 00:45:52 execute_v2 INFO:	enc files res:0
2014-12-23 00:46:03 execute_v2 INFO:	to reset env, succ.
2014-12-24 00:59:01 execute_v2 INFO:	---------reset_env at: 2014-12-24 12:59:01---------
2014-12-24 00:59:06 execute_v2 INFO:	start_v2 ret=99
2014-12-24 00:59:06 execute_v2 INFO:	db dump res:99
2014-12-24 00:59:09 execute_v2 INFO:	---------reset_env at: 2014-12-24 12:59:09---------
2014-12-24 00:59:14 execute_v2 INFO:	start_v2 ret=99
2014-12-24 00:59:14 execute_v2 INFO:	db dump res:99
2014-12-24 00:59:17 execute_v2 INFO:	---------reset_env at: 2014-12-24 12:59:17---------
2014-12-24 00:59:18 execute_v2 INFO:	start_v2 ret=0
2014-12-24 00:59:18 execute_v2 INFO:	db dump res:0
2014-12-24 00:59:18 execute_v2 INFO:	to_remove:
2014-12-24 00:59:18 execute_v2 INFO:	zip files res:0
